Date,SPX,RTY,M1EA,EM,XAU,SPGSCI,LF98TRUU,LBUSTRUU,FNERTR
2020-03-31,5269.2,5854.712,4950.74,1387.731,1577.18,255.542,1905.89,2295.05,16347.2
2020-04-30,5944.68,6658.881,5270.57,1514.809,1686.5,257.045,1991.76,2335.85,17790.6
2020-05-29,6227.81,7092.206,5500.07,1526.446,1730.27,307.076,2079.5,2346.72,18094.9
2020-06-30,6351.67,7342.898,5687.35,1638.654,1780.96,325.483,2099.86,2361.51,18512.81
2020-07-31,6709.81,7546.137,5819.92,1785.085,1975.86,339.821,2198.3,2396.78,19219.32
2020-08-31,7192.11,7971.31,6119.12,1824.545,1967.8,358.211,2219.2,2377.43,19245.57
2020-09-30,6918.83,7705.04,5960.13,1795.28,1885.82,350.178,2196.37,2376.13,18733.04
2020-10-30,6734.84,7866.42,5722.15,1832.268,1878.81,340.78,2207.52,2365.52,18104.61
2020-11-30,7472.06,9316.39,6609.16,2001.729,1776.95,385.594,2294.85,2388.73,19774.43
2020-12-31,7759.35,10122.27,6916.46,2148.883,1898.36,409.458,2338.05,2392.02,20258.86
